Day,En_Title,En_YouTubeLink,Ch_Title,Ch_YouTubeLink
1,Genesis 1,afVN-7vY0KA,创世记 第1章 - Genesis 1,r25wE3oEgzM
2,Genesis 1-11,GQI72THyO5I,创世记 1-11章 - The Book of Genesis 1-11,nGpETp-p-4Y
3,Torah: Genesis 1-11,KOUV7mWDI34,《读圣经》系列：创世记 上集 Genesis 1-11,BuG9tKLsl7o
4,Abraham and Melchizedek,KlZjA-3hiys,亚伯拉罕和麦基洗德  Abraham and Melchizedek,LPE70nNuB0U
5,Genesis 12-50,F4isSyennFo,《读圣经》系列：创世记 下集 Genesis 12-50,sT67Uat1uoE
6,,,,
7,The Test,sR4AT0LMJ5c,考验 - The Test,u77Yf0YqMhE
8,The Last Will Be First,n-UenIDevpI,在后的要在前  The Last Will Be First,N4Qh_DppUls
9,,,,
10,,,,
11,What Is the Bible?,ak06MSETeo4,什么是圣经?  - What is the Bible?,aBbE8bjfbac
12,The Story of the Bible,7_CGP-12AE0,圣经的故事 - The Story of the Bible,Epk_6phdwqA
13,Literary Styles,oUXJ8Owes8E,圣经中的文学形式 - Literary Styles in the Bible,D9aPhPfjts0
14,Ancient Jewish Meditation Literature,VhmlJBUIoLk,犹太默想文学 - Ancient Jewish Meditation Literature,8OD8WGiKkpU
15,,,,
16,Torah: Genesis 12-50,VpbWbyx1008,创世记 12-50章 - The Book of Genesis 12-50,z47Z_FNblgM
17,Exodus 1-18,jH_aojNJM3E,《读圣经》系列：出埃及记 上集 Exodus 1-18,mjnVgCHbLp0
18,"Vocab Insight: ‘Avad / Serve, Work",hhkafDU0XF0,,
19,Vocab Insight: ’Ot / Sign,YMTR7M33eIQ,,
20,What is Passover?,14x_PtlnJHw,,
21,,,,
22,Torah: Exodus 1-18,0uf-PgW7rqE,出埃及记 1-18章 - The Book of Exodus 1-18,veEkSQlZvOI
23,Exodus 19-40,oNpTha80yyE,《读圣经》系列：出埃及记 下集 Exodus 19-40,dbNqDrBMoBo
24,The Covenants,6v4jKkFj3TI,盟约 - Covenants,q0AWK7em5ug
25,Royal Priests of Eden,K60TAYja110,伊甸园里君尊的祭司 - Royal Priests Of Eden,TgF_p6Apx7s
26,Moses and Aaron,rhc1SjvYXqE,摩西和亚伦  Moses and Aaron,ZcU-jVdRT_M
27,Anointing,#NAME?,受膏 - The Anointing,HSlaF5v108Y
28,Visual Commentary: Exodus 34:6-7,nxwzq1PJImM,神的特质 - Character of God 【字义研读 - 出埃及记 34:6-7】,fZeuzgVzcEM
29,Torah: Exodus 19-40,b0GhR-2kPKI,出埃及记 19-40章 - The Book of Exodus 19-40,q8bIxml3XhE
30,Leviticus,IJ-FekWUZzE,《读圣经》系列：利未记 Leviticus,WEKWQtAd_x0
31,,,,
32,,,,
33,Biblical Law,Sew1kBIe-W0,律法书 - Biblical Law,36QSL6nr7AU
34,,,,
35,Sacrifice and Atonement,G_OlRWGLdnw,赎罪 - Sacrifice & Atonement,rmIp4GgHxRg
36,"Wisdom Within Laws About Oaths, Retaliation, and Enemy Love",3EkD-alQhT8,不要起誓。转过左脸给人打。爱你的仇敌。为什么？ Sermon on the Mount Episode 5,1C1ggZt1AIk
37,The Law,3BGO9Mmd_cU,律法 - The Law,hPGtwQ-JOJY
38,Sabbath,PFTLvkB3JLM,安息 - Sabbath,eZApTMnI824
39,Torah: Leviticus,WmvyrLXoQio,利未记 - The Book of Leviticus,1RULLrxqbqE
40,Numbers,tp5MIrMZFqo,《读圣经》系列：民数记 Numbers,M8LQxjTLLSI
41,The Wilderness,,,
42,,,,
43,Nephesh / Soul,g_igCcWAMAM,尽“性” - Nephesh【字义研读】,M4FM5qdUSBc
44,Slow to Anger,TeQ1nq_YJD0,不轻易发怒 - Slow to Anger【字义研读】,kLe3k0js4q8
45,,,,
46,,,,
47,Loyal Love,UfbyFLgs_NM,忠义之爱/慈爱 - Loyal Love【字义研读】,1NexmhG5TGA
48,,,,
49,YHWH / LORD,eLrGM26pmM0,雅威/耶和华/主 - Yahweh【字义研读】,N_vvaiEEf6w
50,,,,
51,,,,
52,Torah: Numbers,zebxH-5o-SQ,民数记 - The Book of Numbers,7NhEnritZKA
53,Deuteronomy,q5QEH9bH8AU,《读圣经》系列：申命记 Deuteronomy,VYwlcm2vpbU
54,Shema / Listen,6KQLOuIKaRA,听 - Shema【字义研读】,3STpphyjBJw
55,,,,
56,Vocab Insight: Dām / Blood,,,
57,,,,
58,Vocab Insight: Zakar / Remember,YoOgGeDfXDk,,
59,Design Patterns,rkqsQpck8YU,圣经叙事体的设计模式 - Design Patterns in Biblical Narrative,sL5cJrR0mvE
60,,,,
61,"Wisdom Within Laws About Murder, Adultery, and Divorce",okFibMvn3t0,动怒等同于杀人？动淫念等同于犯奸淫？耶稣为什么做这样的关联？ Sermon on the Mount Episode 4,VqAnBluZtnA
62,Blessing and Curse,jQaeIJOA6J0,祝福和咒诅 - Blessing and Curse,2A6ehU-M_wA
63,,,,
64,Torah: Deuteronomy,NMhmDPWeftw,申命记 - The Book of Deuteronomy,h4mYierOEGU
65,Joshua,JqOqJlFF_eU,《读圣经》系列：约书亚记 Joshua,NvS60hyYN8Y
66,Angel of the Lord,qgmf8bHayXw,主的使者 - Angel of the Lord,6lQf2kDZ1mw
67,,,,
68,,,,
69,,,,
70,Judges,kOYy8iCfIJ4,《读圣经》系列：士师记 Judges,0ghjILSVPhk
71,,,,
72,Plot,dLFCE8z__hw,圣经叙事模式 - Plot in Biblical Narrative,AbwVW8QtLkQ
73,,,,
74,,,,
75,Lev / Heart,aS4iM6KpPYo,尽“心” - Lev【字义研读】,xA3ZOf0olJI
76,,,,
77,Ruth,0h1eoBeR4Jk,《读圣经》系列：路得记 Ruth,qBJDorKYt4U
78,1 Samuel,QJOju5Dw0V0,《读圣经》系列：撒母耳记上 1 Samuel,LO2pgCfIES4
79,Passage Insight: Purpose of Fasting,,圣经中的“禁食”是什么？我们为什么要“断食”？,HapJhMZof4g
80,Character,0EQDGax19xk,圣经中的人物 - Character in Biblical Narrative,0cBXbvj6EU8
81,,,,
82,,,,
83,Ahavah / Love,HV_LUs2lnIQ,爱 - Ahavah【字义研读】,oIw3W2sdlhk
84,,,,
85,Khata / Sin,aNOZ7ocLD74,,
86,,,,
87,2 Samuel,YvoWDXNDJgs,,
88,,,,
89,Loyal Love,UfbyFLgs_NM,,
90,,,,
91,,,,
92,,,,
93,Meod / Strength,9aaVy1AmFX4,,
94,1-2 Kings,bVFW3wbi9pk,,
95,,,,
96,Holiness,l9vn5UvsHvM,,
97,,,,
98,,,,
99,Character Insight: Elijah,,,
100,Divine Council,e1rai6WoOJU,,
101,,,,
102,,,,
103,Compassion,qJEtyAiAQik,,
104,,,,
105,Intro to Spiritual Beings,cBxOZqtGTXE,,
106,,,,
107,Vocab Insight: Tov / Good,,,
108,,,,
109,TaNaK / Old Testament,ALsluAKBZ-c,,
110,Isaiah 1-39,d0A6Uchb1F8,,
111,The Prophets,edcqUu_BtN0,,
112,,,,
113,,,,
114,Vocab Insight: Tannin / Dragon,,,
115,The Choice,0iJ1-_nH47c,,
116,The Exodus Way,dYPlBq8ELvA,,
117,,,,
118,Isaiah 40-66,_TzdEPuqgQg,,
119,Redemption,uib2G8GkG60,,
120,Jesus Fulfills the Law,KUil1m3P2iI,,
121,,,,
122,Gospel of the Kingdom,xmFPS0f-kzs,,
123,,,,
124,,,,
125,Isaiah 61,d_Q6WkD_Pas,,
126,,,,
127,Jeremiah,RSK36cHbrk0,,
128,,,,
129,Matthew 5:33-37: Oaths and Truth-Telling,,,
130,,,,
131,Vocab Insight: Ets / Tree,,,
132,Justice,A14THPoc4-4,,
133,Vocab Insight: ,,,
134,,,,
135,,,,
136,,,,
137,,,,
138,,,,
139,Vocab Insight: Erets / Land,,,
140,Vocab Insight: Ga’al / Redeem,,,
141,Vocab Insight: Shamayim / Skies,,,
142,Ezekiel 1-33,R-CIPu1nko8,,
143,,,,
144,,,,
145,Avon / Iniquity,w1zkwkI9oAw,,
146,,,,
147,Pesha / Transgression,cq-r9FFN5ew,,
148,,,,
149,Elohim,U5iyUik97Lg,,
150,Chaos Dragon,Nt08B4rm0qo,,
151,,,,
152,Ezekiel 34-48,SDeCWW_Bnyw,,
153,,,,
154,Temple,wTnq6I3vUbU,,
155,Tree of Life,TJLan-pJzfQ,,
156,Hosea,kE6SZ1ogOVU,,
157,,,,
158,,,,
159,Joel,zQLazbgz90c,,
160,Amos,mGgWaPGpGz4,,
161,Matthew 5:3-16: Beatitudes,W9fR7sHw9Y8,,
162,Obadiah,i4ogCrEoG5s,,
163,Jonah,dLIabZc0O4c,,
164,Micah,MFEUEcylwLc,,
165,,,,
166,Nahum,Y30DanA5EhU,,
167,Habakkuk,OPMaRqGJPUU,,
168,Zephaniah,oFZknKPNvz8,,
169,Haggai,juPvv_xcX-U,,
170,Zechariah,_106IfO6Kc0,,
171,,,,
172,Day of the Lord,tEBc2gSSW04,,
173,Malachi,HPGShWZ4Jvk,,
174,,,,
175,Psalms,j9phNEaPrv8,,
176,Proverbs,AzmYV8GNAIM,,
177,Vocab Insight: Kopher / Ransom,,,
178,Proverbs 8,k8P-x34iYRE,,
179,,,,
180,,,,
181,,,,
182,Poetic Metaphor,L9W5afjndtU,,
183,Passage Insight: Creative Nonviolence,,,
184,Wisdom in Relationships,PqEiqCuIsvw,,
185,Wisdom: Proverbs,Gab04dPs_uA,,
186,Job,xQwnH8th_fs,,
187,Shalom / Peace,oLYORLZOaZE,,
188,,,,
189,Matthew 7:1-2: Don’t Judge,,,
190,Matthew 7:6: Pearls Before Pigs,,,
191,,,,
192,,,,
193,Poetry,q9yp1ZXbsEg,,
194,Vocab Insight: Tse'aqah / Outcry,,,
195,,,,
196,,,,
197,Wisdom: Job,GswSg2ohqmA,,
198,Ecclesiastes,lrsQ1tc-2wk,,
199,,,,
200,Wisdom: Ecclesiastes,VeUiuSK81-0,,
201,Song of Songs,4KC7xE4fgOw,,
202,The Books of Solomon,WJgt1vRkPbI,,
203,Lamentations,p8GDFPdaQZQ,,
204,,,,
205,,,,
206,Esther,JydNSlufRIs,,
207,,ABPVVw_aw44,,
208,Daniel,9cSC9uobtPM,,
209,The Way of the Exile,XzWpa0gcPyo,,
210,Son of Man,z6cWEcqxhlI,,
211,,,,
212,Ezra-Nehemiah,MkETkRv9tG8,,
213,Exile,xSua9_WhQFE,,
214,,,,
215,,,,
216,,,,
217,Public Reading of Scripture,BO1Y9XyWKTw,,
218,,,,
219,,,,
220,1-2 Chronicles,HR7xaHv3Ias,,
221,,,,
222,David the Priestly King,JCP2zWaJlGc,,
223,,,,
224,,,,
225,Angels and Cherubim,#NAME?,,
226,,,,
227,The Book of Psalms,dpny22k_7uk,,
228,How to Read Biblical Narrative,7FuT8WtoAK0,,
229,,,,
230,,,,
231,The City,5yZLFmVHfaw,,
232,,,,
233,Vocab Insight: Gehenna / Valley of Wailing,,,
234,,,,
235,The Messiah,3dEh25pduQ8,,
236,New Testament Overview,Q0BrP8bqj0c,,
237,Intro to the Sermon on the Mount,NtKb7CJDUZc,,
238,Matthew 5-7: Sermon Overview,ajwehw_AT0s,,
239,Matthew 7:12: The Golden Rule,,,
240,,,,
241,,,,
242,Matthew 1-13,3Dv4-n6OYGI,,
243,Matthew 14-28,GGCF3OPWN14,,
244,The Mountain,CxDIeoVz7_8,,
245,Passage Insight: Jesus in the Divorce Debate,,,
246,,,,
247,Warnings About Religious Practices,wCo2LN7E6bo,,
248,The Lord’s Prayer,3-YlqQfKkKk,,
249,Martus / Witness,jhcmzjwbvyk,,
250,Mark,HGHqu9-DtXk,,
251,The Parables of Jesus,XX-aAg4_U2Q,,
252,Character Insight: John the Baptizer,,,
253,The Gospel,xrzq_X1NNaA,,
254,Wealth and Worry,GpqOdHV3dmU,,
255,Vocab Insight: Basileia / Kingdom,,,
256,,,,
257,The Gospel of Mark,OVRixfameGY,,
258,John 1,,,
259,Eternal Life,uCOycIMyJZM,,
260,,,,
261,Water of Life,PgmAkM39Zt4,,
262,,,,
263,John 1-12,G-2e9mMf7E8,,
264,John 13-21,RUfh_wOsauk,,
265,God,eAvYmE2YYIU,,
266,Matthew 6:9-13: The Prayer of Jesus,,,
267,Luke 1-9,XIb_dCIxzr0,,
268,The Birth of Jesus: Luke 1-2,_OLezoUvOEQ,,
269,The Baptism of Jesus: Luke 3-9,0k4GbvZUPuo,,
270,Passage Insight: Speck in the Eye,,,
271,The Prodigal Son: Luke 9-19,jUCCUHurV0I,,
272,Luke 10-24,26z_KhwNdD8,,
273,Passage Insight: Do Not Worry,,,
274,Vocab Insight: Mammon / Wealth,,,
275,,,,
276,The Crucifixion of Jesus: Luke 19-23,_unHmAf7INk,,
277,,,,
278,The Resurrection of Jesus: Luke 24,Vb24Lk1Oh5M,,
279,Acts 1-12,CGbNw855ksw,,
280,Holy Spirit,oNNZO9i1Gjc,,
281,Pentecost: Acts 1-7,JQhkWmFJKnA,,
282,The Apostle Paul: Acts 8-12,oiVAbkINtRU,,
283,,,,
284,,,,
285,Acts 13-28,Z-17KxpjL0Q,,
286,,,,
287,Passage Insight: Jesus and Short Prayers,,,
288,Paul’s Missionary Journeys: Acts 13-20,fglsbcGSr3A,,
289,Bound for Rome: Acts 21-28,FJsiwOB0Pvg,,
290,Yakhal / Hope,4WYNBjJSYvE,,
291,,,,
292,Euangelion / Gospel,HT41M013X3A,,
293,Romans 1-4,ej_6dVdJSIU,,
294,,,,
295,Romans 5-16,0SVTl4Xa5fY,,
296,Vocab Insight: Dikaiosune / Righteousness,,,
297,,,,
298,,,,
299,,,,
300,New Testament Letters: Historical Context,GZuceW7eh5M,,
301,1 Corinthians,yiHf8klCCc4,,
302,,,,
303,New Testament Letters: Literary Context,ZPZ2uABVMKA,,
304,,,,
305,,,,
306,,,,
307,Vocab Insight: Teleios / Whole,,,
308,Psalm 148,XgCrFl4Mc5Q,,
309,2 Corinthians,3lfPK2vfC54,,
310,Image of God,YbipxLDtY8c,,
311,Psalm 1,,,
312,,,,
313,Generosity,62CliEkRCso,,
314,,,,
315,Galatians,vmx4UjRFp0M,,
316,,,,
317,,,,
318,Psalm 8,d_-xvaK4wIw,,
319,Ephesians,Y71r-T98E2Q,,
320,The Satan and Demons,CamYtVpoTNk,,
321,Philippians,oE9qqW1-BkU,,
322,Chara / Joy,qvOhQTuD2e0,,
323,Colossians,pXTXlDxQsvc,,
324,The New Humanity,takEeHtRrMw,,
325,1 Thessalonians,No7Nq6IX23c,,
326,,,,
327,,,,
328,2 Thessalonians,kbPBDKOn1cc,,
329,1 Timothy,7RoqnGcEjcs,,
330,,,,
331,Matthew 5:17-20: Righteousness and Jesus' Bible,,,
332,2 Timothy,urlvnxCaL00,,
333,Titus,PUEYCVXJM3k,,
334,Philemon,aW9Q3Jt6Yvk,,
335,Hebrews,1fNWTZZwgbs,,
336,,,,
337,,,,
338,Jesus the Royal Priest,LBr-blQxIm4,,
339,,,,
340,The Beatitudes,s9246LGlngs,,
341,James,qn-hLHWwRYY,,
342,,,,
343,1 Peter,WhP7AZQlzCg,,
344,The Royal Priesthood,Tw-bBfBDpE0,,
345,2 Peter,wWLv_ITyKYc,,
346,1-3 John,l3QkE6nKylM,,
347,Agape / Love,slyevQ1LW7A,,
348,,,,
349,Jude,6UoCmakZmys,,
350,Revelation 1-11,5nvVVcYD-0w,,
351,Apocalyptic Literature,UNDX4tUdj1Y,,
352,,,,
353,,,,
354,Revelation 12-22 ,QpnIrbq2bKo,,
355,,,,
356,,,,
357,,,,
358,Heaven & Earth,Zy2AQlK6C5k,,
